Title,Organization,Category,Tags,URL,Embedding Code,Thumbnail
Soil Solutions to Climate Problems,Center for Food Safety,Video,"Filter, Food",https://vimeo.com/centerforfoodsafety/soilsolutions,"<iframe src=""https://player.vimeo.com/video/146177360?title=0&byline=0&portrait=0"" width=""640"" height=""267"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>
<p><a href=""https://vimeo.com/146177360"">Soil Solutions to Climate Problems - Narrated by Michael Pollan</a> from <a href=""https://vimeo.com/centerforfoodsafety"">Center for Food Safety</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>",
Harvesting Liberty,Fibershed,Video,Fiber,https://vimeo.com/165600324,"<iframe src=""https://player.vimeo.com/video/165600324?title=0&byline=0&portrait=0"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>
<p><a href=""https://vimeo.com/165600324"">Harvesting Liberty</a> from <a href=""https://vimeo.com/patagonia"">Patagonia</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>",
The Kentucky Cloth Project,Fibershed,Video,Fiber,https://vimeo.com/121209789,"<iframe src=""https://player.vimeo.com/video/121209789"" width=""640"" height=""360"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>
<p><a href=""https://vimeo.com/121209789"">The Kentucky Cloth Project</a> from <a href=""https://vimeo.com/user37989239"">Fibershed</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>",
The Compost Story,Kiss the Ground,Video,"Food, Filter",https://www.youtube.com/watch?v=bqDQD8cvO5Y,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bqDQD8cvO5Y"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Dark Matter: Inside the Compost Cycle,KQED,Video,"Food, Filter",https://www.youtube.com/watch?v=QBSGuUq2D9E,,
Composting for Kids,Highfields Composting,Video,"Food, Filter",https://www.youtube.com/watch?v=dRXNo7Ieky8,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/dRXNo7Ieky8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Vermicomposting: How worms can reduce our waste,TedEd,Video,"Food, Filter",https://www.youtube.com/watch?v=V8miLevRI_o,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/V8miLevRI_o"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Why isn't the world covered in poop?,TedEd,Video,Foundations,https://www.youtube.com/watch?v=uSTNyHkde08&t=154s,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uSTNyHkde08"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
What happens to our bodies after we die?,TedEd,Video,Foundations,https://www.youtube.com/watch?v=mRsa2wb0aTs,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mRsa2wb0aTs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Why Wildfires are Necessary,TedEd,Video,"Fiber, Foundations",https://www.youtube.com/watch?v=cNVZEVq3KzY,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/cNVZEVq3KzY"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Dead stuff: The secret ingredient in our food chain,TedEd,Video,"Food, Foundations",https://www.youtube.com/watch?v=KI7u_pcfAQE,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KI7u_pcfAQE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
How Do Worms Turn Garbage into Compost?,Reactions,Video,"Food, Foundations",https://www.youtube.com/watch?v=2Pa1FwmKZcQ,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2Pa1FwmKZcQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Why do Earthworms Come Out After it Rains?,SciShow,Video,Foundations,https://www.youtube.com/watch?v=V4zhogVAuqc,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/V4zhogVAuqc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Regeneration of Our Lands: A Producer’s Perspective,TedEx,Talk,"Food, Filter",https://www.youtube.com/watch?v=QfTZ0rnowcc,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QfTZ0rnowcc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Compost king: Paul Sellew,TedEx,Talk,"Food, Filter",https://www.youtube.com/watch?v=6eXRfynD-M8,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6eXRfynD-M8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
The Networked Beauty of Forests: Suzanne Simard,TedEx,Talk,Foundations,https://www.youtube.com/watch?v=dRSPy3ZwpBk,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/dRSPy3ZwpBk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
How Trees Talk to Each Other,TedEx,Talk,Foundations,https://www.youtube.com/watch?v=Un2yBgIAxYs,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Un2yBgIAxYs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Growing a Revolution: Bringing Our Soil Back to Life,SARE Outreach,Talk,"Food, Fiber, Filter",https://www.youtube.com/watch?v=FZ22IV2tDvs,,
David R. Montgomery on Symbioses in the Soil,Center for Food Safety,Video,Foundations,https://www.youtube.com/watch?v=Ly-_WeqhSWA,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/o9FZo4_T5M8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Nikki Silvestri on Building Communities,Center for Food Safety,Video,"Foundations, Fun",https://www.youtube.com/watch?v=NByijca2EZs,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/NByijca2EZs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Rattan Lal on Raising Awareness,Center for Food Safety,Video,Filter,https://www.youtube.com/watch?v=hgVJUjEyC5g,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hgVJUjEyC5g"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Soil Organic Carbon – the treasure beneath our feet,FAO,Video,Filter,https://www.youtube.com/watch?v=Ymy0IO7nizw&t=91s,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Ymy0IO7nizw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Soil: An essential ingredient to healthy food and nutrition,FAO,Video,Food,https://www.youtube.com/watch?v=2olJ5zR4IGQ,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2olJ5zR4IGQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Why is soil so important?,Syngenta,Video,Foundations,https://www.youtube.com/watch?v=H_YXEh0eQD4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/H_YXEh0eQD4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
What's the Dirt on ... Dirt?,SciShow Kids,Educational Video,Foundations,https://www.youtube.com/watch?v=if29mjcd5bc,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/if29mjcd5bc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
The Dirt on Decomposers,CrashCourse,Educational Video,Foundations,https://www.youtube.com/watch?v=uB61rfeeAsM,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uB61rfeeAsM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Soil and Soil Dynamics,Bozeman Science,Educational Video,Foundations,https://www.youtube.com/watch?v=mg7XSjcnZQM,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mg7XSjcnZQM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Weathering and Erosion,CrashCourse,Educational Video,Foundations,https://www.youtube.com/watch?v=R-Iak3Wvh9c,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/R-Iak3Wvh9c"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Cation Exchange,LearningGamesLab,Educational Video,Foundations,https://www.youtube.com/watch?v=HmEyymGXOfI,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HmEyymGXOfI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Sorption,LearningGamesLab,Educational Video,Foundations,https://www.youtube.com/watch?v=Az1h5qMfFQM,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HmEyymGXOfI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Science of Soil: Finding Your Place on the Scale,LearningGamesLab,Educational Video,Foundations,https://www.youtube.com/watch?v=MUy3ZIngONw&list=PLAfTd1WG38jhoKcPpsWPR4fI1-2yDxJJQ&index=1&t=0s,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MUy3ZIngONw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Science of Soil: Multidimensional Thinking,LearningGamesLab,Educational Video,Foundations,https://www.youtube.com/watch?v=y4D4jJJ7T80&list=PLAfTd1WG38jhoKcPpsWPR4fI1-2yDxJJQ&index=2,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/y4D4jJJ7T80"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
The Science of Soil: Why Study Soil?,LearningGamesLab,Educational Video,Foundations,https://www.youtube.com/watch?v=og3TUc9xQaE&list=PLAfTd1WG38jhoKcPpsWPR4fI1-2yDxJJQ&index=4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/og3TUc9xQaE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Sorption in Everyday Life,LearningGamesLab,Educational Video,Foundations,https://www.youtube.com/watch?v=oGb2wV09mso&index=8&list=PLAfTd1WG38jhoKcPpsWPR4fI1-2yDxJJQ,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/oGb2wV09mso"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Everything Is Chemical,LearningGamesLab,Educational Video,"Food, Foundations",https://www.youtube.com/watch?v=7ej_UbREGns&list=PLAfTd1WG38jhoKcPpsWPR4fI1-2yDxJJQ&index=11,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7ej_UbREGns"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
January: Soils Sustain Life,SSSA,Video,Foundations,https://www.youtube.com/watch?v=vDL6F6GkAzI,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vDL6F6GkAzI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
February: Soils Support Urban Life,,,Foundations,https://www.youtube.com/watch?v=vkJ7H9DMEX4&index=2&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vkJ7H9DMEX4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
March: Soils Support Agriculture,,,"Food, Fiber",https://www.youtube.com/watch?v=GGV2jlg_P4M&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm&index=3,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GGV2jlg_P4M"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
April: Soils Clean and Capture Water,,,Filter,https://www.youtube.com/watch?v=ZwQeTJEeedk&index=4&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZwQeTJEeedk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
May: Soils Support Buildings and Infrastructure,,,Foundations,https://www.youtube.com/watch?v=zJi-73qeE-0&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm&index=5,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zJi-73qeE-0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
June: Soils Support Recreation,,,Fun,https://www.youtube.com/watch?v=nA3x2oOs394&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm&index=6,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nA3x2oOs394"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
July: Soils Are Living!,,,"Foundations, Farmaceuticals",https://www.youtube.com/watch?v=Qas9tPQKd8w&index=7&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Qas9tPQKd8w"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
August: Soils Support Health,,,"Foundations, Farmaceuticals",https://www.youtube.com/watch?v=LXUnGntFahE&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm&index=8,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LXUnGntFahE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
September: Soils Protect the Natural Environment,,,"Filter, Foundations",https://www.youtube.com/watch?v=hpMG43oFin4&index=9&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hpMG43oFin4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
October: Soils and the Products We Use,,,"Food, Fiber",https://www.youtube.com/watch?v=oVce_FBvS3Q&index=10&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/oVce_FBvS3Q"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
November: Soils and Climate,,,Filter,https://www.youtube.com/watch?v=T4A_rMlHcyE&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm&index=11,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/T4A_rMlHcyE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
December: Soils and Culture,,,Fun,https://www.youtube.com/watch?v=Em_AsKUVpzE&index=12&list=PLZVYohuIygMqtilTezSHbzveYUj3WLjdm,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Em_AsKUVpzE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Introduction to Soil part 1,The Science Basement,Video,Foundations,https://www.youtube.com/watch?v=p166fVxwyuY,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/p166fVxwyuY"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Introduction to Soil part 2,The Science Basement,Video,Foundations,https://www.youtube.com/watch?v=uimJY25uMR8,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uimJY25uMR8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Erosion and Soil,funsciencedemos,Video,Filter,https://www.youtube.com/watch?v=im4HVXMGI68,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/im4HVXMGI68"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Water Breaks Down Rocks,funsciencedemos,Video,Foundations,https://www.youtube.com/watch?v=NwT1e8R4hz0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/NwT1e8R4hz0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
The Living Soil: How Unseen Microbes Affect the Food We Eat,Morehead Planetarium & Science Center,Video,"Food, Foundations",https://www.youtube.com/watch?v=-dhdUoK7s2s,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-dhdUoK7s2s"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
How To (Literally) Save Earth,MinuteEarth,Video,Foundations,https://www.youtube.com/watch?v=AOefA-bSduM,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/AOefA-bSduM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
The Living Soil Beneath Our Feet,California Academy of Sciences,Video,Foundations,https://www.youtube.com/watch?v=MlREaT9hFCw,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MlREaT9hFCw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
PHC Film: Soil is a living organism,Plant Health Cure,Video,Foundations,https://www.youtube.com/watch?v=8ugaL6wsXME,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8ugaL6wsXME"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Soil Basics: Soil Profiles,PU Extension,Video,,https://www.youtube.com/watch?v=xoTd7ctj-e0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xoTd7ctj-e0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
New powerful antibiotic Teixobactin discovered,TomoNews,Video,Farmaceuticals,https://www.youtube.com/watch?v=DEWtHcorLnM,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/DEWtHcorLnM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
Kim Lewis – Teixobactin Discovery,Northeastern,Video,Farmaceuticals,https://www.youtube.com/watch?v=CsLSXxM7Wgk,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/CsLSXxM7Wgk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",
